column,korean_name,domain,reason
family_r,가족 형태,가족·보호자 환경,가구 구성 맥락
a1_employed_r,보호자 1의 고용 상태,가족·보호자 환경,가구 고용 환경
a2_employed_r,보호자 2의 고용 상태,가족·보호자 환경,가구 고용 환경
a1_grade,보호자 1의 최종 학력,가족·보호자 환경,가구 교육 자원
fpl_i1,가구 빈곤수준,경제 상황,경제적 자원 수준
foodsit,최근 12개월 가구 식품 상황,경제 상황,식품 안정성
missmortgage,주거비·임대료 납부 곤란,경제 상황,주거비 부담
k10q40_r,아동의 동네 안전 인식,주거·동네 환경,거주 지역 안전
k10q22,동네의 노후·불량 주택,주거·동네 환경,주거 주변 환경
k10q23,동네의 기물파손,주거·동네 환경,거주 지역 위험 신호
moves,아동의 이사 횟수,주거 안정성,주거 안정성
hoursleep,최근 1주 평균 수면시간,생활습관,수면 습관
screentime,TV·휴대폰·컴퓨터 사용시간,생활습관,화면 사용 습관
k10q41_r,학교가 안전하다는 인식,학교·사회생활,학교 환경 안전
k7q04r_r,학교가 문제로 가정에 연락한 횟수,학교·사회생활,학교 적응 신호
k7q82_r,학교에서 잘하고 싶은 마음,학교·사회생활,학교 참여·태도
makefriend,친구를 사귀거나 유지하는 어려움,학교·사회생활,또래 관계
