column,korean_name,domain,reason
tenure,현재 주거 형태,주거 안정,현재 거주지의 소유·임대 형태 확인
hhlanguage,가정에서 주로 사용하는 언어,가족 환경,가정 내 의사소통 환경 확인
family_r,가족 형태,가족 환경,가구 구성의 생활환경 차이 확인
hhcount,함께 사는 가구원 수,가족 환경,가구 규모 확인
famcount,가족 구성원 수,가족 환경,가족 구성 규모 확인
a1_employed_r,주 보호자의 현재 고용 상태,가족·경제,가구의 일상 경제활동 상황 확인
a1_grade,주 보호자의 최종 학력,가족·경제,가구의 교육 자원 관련 특성 확인
a1_marital,주 보호자의 혼인 상태,가족 환경,보호자 생활 여건 확인
a1_relation,주 보호자와 아이의 관계,가족 환경,주 보호자 관계 확인
a2_employed_r,두 번째 보호자의 고용 상태,가족·경제,가구의 경제활동 상황 확인
a2_grade,두 번째 보호자의 최종 학력,가족·경제,가구의 교육 자원 관련 특성 확인
decisions_r,가족의 의사결정 참여,가족 환경,가정 내 의사결정 경험 확인
ebtcards,식품 지원 카드 사용,경제,식품 지원 이용 여부 확인
s9q34,현금 지원 프로그램 이용,경제,공적 지원 이용 여부 확인
ssi,보충소득 지원 이용,경제,공적 지원 이용 여부 확인
foodsit,최근 12개월 가구 식품 상황,경제,식생활 안정성 확인
missmortgage,주거비·임대료 납부 곤란,주거·경제,주거비 부담 여부 확인
everhomeless,거주지 없이 지낸 경험,주거 안정,주거 불안정 경험 확인
homeevic,주거 퇴거 걱정,주거 안정,주거 유지 불안 확인
k10q40_r,아이가 느끼는 동네 안전,동네 환경,주거 지역의 안전 인식 확인
k10q11,동네에 보도·놀이 공간이 있음,동네 환경,생활 주변 환경 확인
k10q12,동네에 도서관·공원 등 시설이 있음,동네 환경,생활 주변 자원 확인
k10q13,동네에서 도움을 받을 이웃이 있음,동네 환경,이웃 지원 환경 확인
k10q14,동네가 아동에게 안전함,동네 환경,지역 안전 환경 확인
k10q20,동네의 쓰레기·오염 문제,동네 환경,주변 환경 문제 확인
k10q22,동네의 노후·불량 주택,동네 환경,주변 주거환경 확인
k10q23,동네의 기물파손,동네 환경,주변 환경의 훼손 징후 확인
moves,이사 횟수,주거 안정,거주지 이동 안정성 확인
hoursleep,평균 수면 시간,생활습관,일상 생활리듬 확인
bedtime,평일 취침 시간,생활습관,일상 수면 리듬 확인
physactiv,신체활동 시간,생활습관,일상 활동 특성 확인
screentime,화면 사용 시간,생활습관,일상 미디어 사용 특성 확인
k10q41_r,아이가 느끼는 학교 안전,학교 환경,학교 내 안전 인식 확인
k7q04r_r,학교가 가정에 문제로 연락한 횟수,학교 생활,학교 적응 관련 신호 확인
k7q82_r,학교에서 잘하고 싶어 하는 마음,학교 생활,학교 참여·동기 특성 확인
k7q83_r,학교에서 과제를 끝까지 해냄,학교 생활,학교 참여 특성 확인
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,또래 환경 확인
makefriend,친구를 사귀거나 유지하는 어려움,학교·사회생활,또래 관계 특성 확인
grades,학교 성적,학교 생활,학교 적응 특성 확인
